RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
1,Adrian Peterson,Min,RB,3.4,+1,55.8,+0.3,99.9,
2,Le'Veon Bell,Pit,RB,3.5,-0.4,53.6,+0.3,99.9,
3,Eddie Lacy,GB,RB,4.6,-1,54.6,+0,100.0,
4,Marshawn Lynch,Sea,RB,5.3,-0.2,53.7,-0.1,100.0,
5,Jamaal Charles,KC,RB,5.3,-0.6,53.7,-0.1,99.9,
6,Matt Forte,Chi,RB,11.2,+0.3,46.2,+0,99.9,
7,DeMarco Murray,Phi,RB,11.3,-0.2,46.4,-0.1,99.9,
8,C.J. Anderson,Den,RB,11.3,+0,46.1,-0.3,99.9,
9,LeSean McCoy,Buf,RB,15.1,-1.1,44.8,-0.5,99.9,
10,Jeremy Hill,Cin,RB,18.5,+0.1,37.7,+1.4,99.8,
11,Mark Ingram,NO,RB,28.5,+0.3,28.7,+0.2,99.1,
12,Alfred Morris,Wsh,RB,31.1,+0.4,26.7,+0.3,99.1,
13,Lamar Miller,Mia,RB,33.5,+0.6,25.0,+0.5,98.6,
14,Justin Forsett,Bal,RB,35.2,+0.9,23.7,+0.1,98.9,
15,Carlos Hyde,SF,RB,39.3,+0.2,21.9,+0.2,97.6,
16,Frank Gore,Ind,RB,40.4,+1.2,18.6,+0.3,98.3,
17,Melvin Gordon,SD,RB,41.9,-2,22.2,-0.3,98.2,
18,Jonathan Stewart,Car,RB,46.4,+0.5,17.2,+0.2,96.5,
19,Todd Gurley,StL,RB,53.1,-2.5,14.9,+0.3,95.7,
20,Latavius Murray,Oak,RB,54.1,+1.2,13.7,+0.4,94.4,
21,Joseph Randle,Dal,RB,56.7,-1.5,12.9,+1,93.9,
22,Andre Ellington,Ari,RB,57.3,+4.5,11.4,+0.3,94.5,
23,Joique Bell*,Det,RB,59.6,-0.6,12.7,-0.1,90.9,
24,T.J. Yeldon,Jac,RB,65.6,-2.8,11.4,-0.1,92.8,
25,Giovani Bernard,Cin,RB,66.1,+1.1,8.9,+0,92.6,
26,Rashad Jennings,NYG,RB,69.5,+1,8.5,+0,90.4,
27,C.J. Spiller,NO,RB,70.9,+5.3,7.9,-0.1,90.1,
28,LeGarrette Blount,NE,RB,77.4,+2,6.3,+0,87.3,
29,Chris Ivory,NYJ,RB,81.8,+3.4,4.7,+0.2,86.5,
30,Ameer Abdullah,Det,RB,83.2,+0,4.8,+1.3,88.1,
31,Isaiah Crowell,Cle,RB,83.4,+1.4,5.4,-0.1,86.0,
32,Ryan Mathews,Phi,RB,85.9,+6.8,3.6,+0.2,84.6,
33,Doug Martin,TB,RB,91.8,+1.8,3.9,+0.3,86.1,
34,Arian Foster*,Hou,RB,92.0,+6.9,21.5,-8.8,89.5,
35,Shane Vereen,NYG,RB,95.5,+2.8,2.9,-0.1,83.5,
36,Alfred Blue,Hou,RB,97.3,+4,3.5,+0.4,77.7,
37,Tevin Coleman,Atl,RB,98.9,-29,8.4,-1,87.1,
38,Tre Mason,StL,RB,100.0,+5.5,2.7,-0.1,79.3,
39,Darren McFadden,Dal,RB,107.9,-8.3,3.8,-0.7,80.8,
40,Bishop Sankey,Ten,RB,111.7,-2.1,2.2,-0.2,75.5,
41,Devonta Freeman,Atl,RB,111.8,+1.8,1.8,+0,71.8,
42,Duke Johnson,Cle,RB,118.9,+3,1.5,+0,58.9,
43,Danny Woodhead,SD,RB,120.0,+17.1,1.2,+0.1,41.6,
44,Charles Sims,TB,RB,128.2,-12.4,1.5,-0.2,60.8,
45,Montee Ball,Den,RB,128.3,-3.6,1.4,+0,61.4,
46,Andre Williams,NYG,RB,128.7,-3.8,1.2,-0.1,56.2,
47,Darren Sproles,Phi,RB,129.7,+1.2,1.2,+0,42.7,
48,Lorenzo Taliaferro,Bal,RB,131.2,-3.4,1.1,+0,49.5,
49,Fred Jackson,Buf,RB,131.6,-3.6,1.2,+0,52.8,
50,Knile Davis,KC,RB,132.9,-0.3,1.3,+0,52.9,
51,DeAngelo Williams,Pit,RB,133.7,-3.4,1.2,+0,55.1,
52,Reggie Bush,SF,RB,133.7,+0.2,1.2,+0,46.0,
53,Jonas Gray,NE,RB,135.0,-1.3,1.7,+0,36.4,
54,David Cobb,Ten,RB,136.1,+4.1,1.3,+0.1,35.4,
55,Denard Robinson,Jac,RB,138.4,+0.3,1.1,+0,40.8,
56,Jerick McKinnon,Min,RB,143.6,-0.1,1.1,+0,27.1,
57,Theo Riddick,Det,RB,144.3,-7,1.0,+0,30.5,
58,Terrance West,Cle,RB,144.5,-1.4,1.1,-0.1,28.8,
59,Jay Ajayi,Mia,RB,146.0,-0.2,1.2,+0,19.7,
60,David Johnson,Ari,RB,170.0,-23.6,1.2,+0,15.8,
61,Roy Helu,Oak,RB,170.0,+0,0.0,+0,14.1,
