RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
,1,Rob Gronkowski,NE,TE,14.8,-0.3,43.0,+0.2,100.0,
,2,Jimmy Graham,Sea,TE,29.2,-0.2,26.4,+0.2,99.9,
,3,Greg Olsen,Car,TE,48.2,+1.3,8.8,+0.2,99.7,
,4,Travis Kelce,KC,TE,60.1,+1,6.8,+0.2,98.7,
,5,Jason Witten,Dal,TE,63.0,+2.6,4.0,+0.3,96.8,
,6,Martellus Bennett,Chi,TE,66.1,+0.6,5.1,+0.1,97.3,
,7,Jordan Cameron,Mia,TE,84.0,+24.1,2.1,+0.2,86.8,
,8,Julius Thomas,Jac,TE,90.3,-17.8,4.6,-0.5,95.6,
,9,Zach Ertz,Phi,TE,108.6,-3.7,2.0,+0,87.1,
,10,Dwayne Allen,Ind,TE,111.3,-3.2,1.6,+0,84.5,
,11,Owen Daniels,Den,TE,121.1,+3.1,1.9,+0.1,57.2,
,12,Delanie Walker,Ten,TE,123.3,+3.6,1.3,+0,70.2,
,13,Antonio Gates,SD,TE,125.0,+0.2,1.9,-0.4,68.9,
,14,Vernon Davis,SF,TE,125.3,+2.3,2.2,+0,29.8,
,15,Kyle Rudolph,Min,TE,125.9,+2.7,1.8,+0.3,35.6,
,16,Heath Miller,Pit,TE,128.6,-4.7,1.7,+1.7,28.0,
,17,Coby Fleener,Ind,TE,128.7,+0.1,1.9,+1.9,28.4,
,18,Josh Hill,NO,TE,132.3,-3.2,1.6,-0.1,49.8,
,19,Tyler Eifert,Cin,TE,134.6,-4.8,1.6,+1.6,26.7,
,20,Charles Clay,Buf,TE,134.8,+35.2,0.0,+0,13.4,
,21,Eric Ebron,Det,TE,136.4,-1.1,0.0,+0,15.2,
,22,Larry Donnell,NYG,TE,137.2,+1.8,1.2,+0.1,34.7,
,23,Austin Seferian-Jenkins,TB,TE,139.1,-0.2,0.0,+0,19.4,
,24,Jordan Reed,Wsh,TE,170.0,-28.8,0.0,+0,13.4,
,25,Richard Rodgers,GB,TE,170.0,+0,0.0,+0,8.2,
