RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
1,Antonio Brown,Pit,WR,8.1,-0.2,50.2,+0.4,100.0,
2,Demaryius Thomas,Den,WR,13.5,-0.1,44.6,+0.3,99.9,
3,Dez Bryant,Dal,WR,14.1,-0.2,44.6,+0.4,99.9,
4,Odell Beckham Jr.,NYG,WR,17.2,-1.3,42.3,-0.2,99.9,
5,Jordy Nelson,GB,WR,18.5,+0.2,39.2,+0.3,99.9,
6,Calvin Johnson,Det,WR,18.9,+0.2,39.7,+0.2,99.9,
7,Julio Jones,Atl,WR,19.0,+0.5,39.5,+0.5,99.9,
8,A.J. Green,Cin,WR,23.1,+0,36.5,+0.3,99.9,
9,Randall Cobb,GB,WR,25.9,+0.2,32.4,+0.3,99.8,
10,T.Y. Hilton,Ind,WR,27.2,-0.6,31.0,+0.2,99.8,
11,Alshon Jeffery,Chi,WR,27.5,-0.4,32.0,+0,99.5,
12,Mike Evans,TB,WR,32.0,-0.7,27.6,+0.1,99.5,
13,Emmanuel Sanders,Den,WR,33.1,+0,26.6,+0.2,99.5,
14,DeAndre Hopkins,Hou,WR,37.4,+1.6,22.7,+0.4,98.5,
15,Brandin Cooks,NO,WR,38.8,+3.4,20.6,+0.7,97.7,
16,Jordan Matthews,Phi,WR,43.1,+4,17.2,+0.7,97.0,
17,Julian Edelman,NE,WR,46.2,+1.4,15.7,+0.2,97.9,
18,Sammy Watkins,Buf,WR,48.6,+1.5,14.9,+0.2,97.0,
19,Keenan Allen,SD,WR,51.9,+4,12.5,+0.5,95.3,
20,Andre Johnson,Ind,WR,55.7,+2.6,11.1,+0,95.4,
21,Amari Cooper,Oak,WR,57.1,+1.9,10.8,+0.3,95.6,
22,DeSean Jackson,Wsh,WR,57.4,+0.5,11.5,+0.1,95.9,
23,Golden Tate,Det,WR,58.2,+0.8,9.3,+0.4,95.4,
24,Vincent Jackson,TB,WR,62.6,+5.8,8.6,+0.3,92.9,
25,Brandon Marshall,NYJ,WR,63.1,+2.8,8.5,+0,94.3,
26,Jeremy Maclin,KC,WR,65.3,+5.9,7.0,+0.4,93.8,
27,Mike Wallace,Min,WR,72.7,+1.1,6.6,+0.2,92.3,
28,Jarvis Landry,Mia,WR,75.2,+5.4,5.2,+0.3,90.6,
29,Martavis Bryant,Pit,WR,80.3,+10.9,4.5,+0.5,89.0,
30,Allen Robinson,Jac,WR,85.3,+2.5,4.4,+0.1,86.7,
31,Nelson Agholor,Phi,WR,86.8,+9.4,4.0,+0.3,86.6,
32,Eric Decker,NYJ,WR,88.6,+1,3.7,+0,87.2,
33,Larry Fitzgerald,Ari,WR,90.0,+7.4,2.6,+0.1,86.5,
34,Roddy White,Atl,WR,91.8,+6.2,3.0,+0.1,86.3,
35,Torrey Smith,SF,WR,95.5,+6.8,2.2,+0.1,84.3,
36,Michael Floyd,Ari,WR,103.4,+11.4,2.2,-0.2,76.7,
37,Charles Johnson,Min,WR,104.7,+11.7,1.6,+0.2,70.2,
38,Brandon LaFell*,NE,WR,109.3,-10.7,3.0,-0.4,78.6,
39,Marques Colston,NO,WR,109.6,+14.1,1.4,+0,70.9,
40,Victor Cruz,NYG,WR,110.1,+4,2.4,+0,80.1,
41,Steve Smith Sr.,Bal,WR,114.4,+2.5,1.4,+0.1,74.7,
42,John Brown,Ari,WR,117.8,+15.6,1.3,+0.1,53.6,
43,Anquan Boldin,SF,WR,121.3,+3.5,1.2,+0,65.2,
44,Devin Funchess,Car,WR,121.5,+48.5,2.2,+2.2,45.1,
45,Breshad Perriman,Bal,WR,122.8,-13.1,1.8,-0.1,71.2,
46,Davante Adams,GB,WR,123.2,+1.3,1.8,+0,70.3,
47,Kendall Wright,Ten,WR,126.3,+3,1.2,+0,59.9,
48,Pierre Garcon,Wsh,WR,131.6,+8.3,1.2,+0,41.2,
49,Eddie Royal,Chi,WR,133.5,+5.8,1.8,+1.8,39.6,
50,Cody Latimer,Den,WR,134.3,+5.9,1.2,+0,47.0,
51,Terrance Williams,Dal,WR,134.4,-0.2,1.5,+0.1,35.2,
52,Percy Harvin,Buf,WR,134.6,-13.6,1.3,+0,63.6,
53,DeVante Parker,Mia,WR,135.4,+3,1.3,+0,48.4,
54,Michael Crabtree,Oak,WR,136.2,-2.8,1.7,+1.7,26.9,
55,Doug Baldwin,Sea,WR,137.6,-1.7,1.2,+0,32.6,
56,Kenny Stills,Mia,WR,142.0,+28,0.0,+0,19.3,
57,Donte Moncrief,Ind,WR,142.3,+2.2,1.1,+0,26.1,
58,Malcom Floyd,SD,WR,143.2,-0.2,1.1,+0,30.6,
59,Dorial Green-Beckham,Ten,WR,144.5,-5.8,1.6,+0,27.5,
60,Brian Quick,StL,WR,146.2,+0.4,0.0,+0,21.0,
61,Marvin Jones,Cin,WR,148.9,+21.1,0.0,+0,14.0,
62,Kelvin Benjamin*,Car,WR,170.0,-134.3,23.4,-0.3,50.2,
63,Kevin White*,Chi,WR,170.0,-74,5.5,-0.7,49.3,
64,Markus Wheaton,Pit,WR,170.0,+0,0.0,+0,13.2,
65,Tyler Lockett,Sea,WR,170.0,-46.2,0.0,+0,12.3,
66,Stevie Johnson,SD,WR,170.0,+0,0.0,+0,10.8,
67,Rueben Randle,NYG,WR,170.0,+0,0.0,+0,10.5,
68,Cordarrelle Patterson,Min,WR,170.0,+0,0.0,+0,9.1,
69,Phillip Dorsett,Ind,WR,170.0,+0,0.0,+0,8.9,
70,Mohamed Sanu,Cin,WR,170.0,+0,0.0,+0,7.5,
71,Dwayne Bowe,Cle,WR,170.0,+0,0.0,+0,7.3,
72,Jaelen Strong,Hou,WR,170.0,+0,0.0,+0,6.8,
73,Cole Beasley,Dal,WR,170.0,+0,0.0,+0,6.4,
74,Brandon Coleman,NO,WR,170.0,+0,0.0,+0,6.2,
75,Marqise Lee,Jac,WR,170.0,+0,0.0,+0,5.9,
76,Tavon Austin,StL,WR,170.0,+0,0.0,+0,5.6,
77,Cecil Shorts III,Hou,WR,170.0,+0,0.0,+0,5.6,
78,Danny Amendola,NE,WR,170.0,+0,0.0,+0,5.4,
79,Kenny Britt,StL,WR,170.0,+0,0.0,+0,5.1,
80,Greg Jennings,Mia,WR,170.0,+0,0.0,+0,4.9,
