RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
,1,Adrian Peterson,Min,RB,3.4,+1,55.8,+0.3,99.9,
,2,Le'Veon Bell,Pit,RB,3.5,-0.4,53.6,+0.3,99.9,
,3,Eddie Lacy,GB,RB,4.6,-1,54.6,+0,100.0,
,4,Marshawn Lynch,Sea,RB,5.3,-0.2,53.7,-0.1,100.0,
,5,Jamaal Charles,KC,RB,5.3,-0.6,53.7,-0.1,99.9,
,6,Antonio Brown,Pit,WR,8.1,-0.2,50.2,+0.4,100.0,
,7,Aaron Rodgers,GB,QB,9.7,-0.6,41.4,+1,99.9,
,8,Matt Forte,Chi,RB,11.2,+0.3,46.2,+0,99.9,
,9,DeMarco Murray,Phi,RB,11.3,-0.2,46.4,-0.1,99.9,
,10,C.J. Anderson,Den,RB,11.3,+0,46.1,-0.3,99.9,
,11,Demaryius Thomas,Den,WR,13.5,-0.1,44.6,+0.3,99.9,
,12,Andrew Luck,Ind,QB,13.9,+0,36.4,+0.7,99.9,
,13,Dez Bryant,Dal,WR,14.1,-0.2,44.6,+0.4,99.9,
,14,Rob Gronkowski,NE,TE,14.8,-0.3,43.0,+0.2,100.0,
,15,LeSean McCoy,Buf,RB,15.1,-1.1,44.8,-0.5,99.9,
,16,Odell Beckham Jr.,NYG,WR,17.2,-1.3,42.3,-0.2,99.9,
,17,Jordy Nelson,GB,WR,18.5,+0.2,39.2,+0.3,99.9,
,18,Jeremy Hill,Cin,RB,18.5,+0.1,37.7,+1.4,99.8,
,19,Calvin Johnson,Det,WR,18.9,+0.2,39.7,+0.2,99.9,
,20,Julio Jones,Atl,WR,19.0,+0.5,39.5,+0.5,99.9,
,21,A.J. Green,Cin,WR,23.1,+0,36.5,+0.3,99.9,
,22,Randall Cobb,GB,WR,25.9,+0.2,32.4,+0.3,99.8,
,23,Russell Wilson,Sea,QB,26.2,-1.6,22.4,+0.4,99.9,
,24,Peyton Manning,Den,QB,26.5,-0.3,22.3,+0.4,99.9,
,25,T.Y. Hilton,Ind,WR,27.2,-0.6,31.0,+0.2,99.8,
,26,Alshon Jeffery,Chi,WR,27.5,-0.4,32.0,+0,99.5,
,27,Mark Ingram,NO,RB,28.5,+0.3,28.7,+0.2,99.1,
,28,Jimmy Graham,Sea,TE,29.2,-0.2,26.4,+0.2,99.9,
,29,Alfred Morris,Wsh,RB,31.1,+0.4,26.7,+0.3,99.1,
,30,Mike Evans,TB,WR,32.0,-0.7,27.6,+0.1,99.5,
,31,Emmanuel Sanders,Den,WR,33.1,+0,26.6,+0.2,99.5,
,32,Lamar Miller,Mia,RB,33.5,+0.6,25.0,+0.5,98.6,
,33,Drew Brees,NO,QB,35.0,+1,17.2,+0.4,99.6,
,34,Justin Forsett,Bal,RB,35.2,+0.9,23.7,+0.1,98.9,
,35,DeAndre Hopkins,Hou,WR,37.4,+1.6,22.7,+0.4,98.5,
,36,Brandin Cooks,NO,WR,38.8,+3.4,20.6,+0.7,97.7,
,37,Carlos Hyde,SF,RB,39.3,+0.2,21.9,+0.2,97.6,
,38,Frank Gore,Ind,RB,40.4,+1.2,18.6,+0.3,98.3,
,39,Melvin Gordon,SD,RB,41.9,-2,22.2,-0.3,98.2,
,40,Jordan Matthews,Phi,WR,43.1,+4,17.2,+0.7,97.0,
,41,Julian Edelman,NE,WR,46.2,+1.4,15.7,+0.2,97.9,
,42,Jonathan Stewart,Car,RB,46.4,+0.5,17.2,+0.2,96.5,
,43,Ben Roethlisberger,Pit,QB,46.5,+1.1,9.1,+0.4,98.1,
,44,Greg Olsen,Car,TE,48.2,+1.3,8.8,+0.2,99.7,
,45,Sammy Watkins,Buf,WR,48.6,+1.5,14.9,+0.2,97.0,
,46,Keenan Allen,SD,WR,51.9,+4,12.5,+0.5,95.3,
,47,Todd Gurley,StL,RB,53.1,-2.5,14.9,+0.3,95.7,
,48,Latavius Murray,Oak,RB,54.1,+1.2,13.7,+0.4,94.4,
,49,Andre Johnson,Ind,WR,55.7,+2.6,11.1,+0,95.4,
,50,Joseph Randle,Dal,RB,56.7,-1.5,12.9,+1,93.9,
,51,Amari Cooper,Oak,WR,57.1,+1.9,10.8,+0.3,95.6,
,52,Andre Ellington,Ari,RB,57.3,+4.5,11.4,+0.3,94.5,
,53,DeSean Jackson,Wsh,WR,57.4,+0.5,11.5,+0.1,95.9,
,54,Golden Tate,Det,WR,58.2,+0.8,9.3,+0.4,95.4,
,55,Seahawks D/ST,D/ST,58.7,-4,6.7,-0.1,99.9,
,56,Joique Bell*,Det,RB,59.6,-0.6,12.7,-0.1,90.9,
,57,Travis Kelce,KC,TE,60.1,+1,6.8,+0.2,98.7,
,58,Vincent Jackson,TB,WR,62.6,+5.8,8.6,+0.3,92.9,
