RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
,1,Aaron Rodgers,GB,QB,9.7,-0.6,41.4,+1,99.9,
,2,Andrew Luck,Ind,QB,13.9,+0,36.4,+0.7,99.9,
,3,Russell Wilson,Sea,QB,26.2,-1.6,22.4,+0.4,99.9,
,4,Peyton Manning,Den,QB,26.5,-0.3,22.3,+0.4,99.9,
,5,Drew Brees,NO,QB,35.0,+1,17.2,+0.4,99.6,
,6,Ben Roethlisberger,Pit,QB,46.5,+1.1,9.1,+0.4,98.1,
,7,Matt Ryan,Atl,QB,65.8,+1.9,5.3,+0.2,95.1,
,8,Tony Romo,Dal,QB,72.7,+3.1,4.8,+0.1,94.2,
,9,Cam Newton,Car,QB,75.9,-7.2,5.1,-0.1,95.2,
,10,Tom Brady,NE,QB,78.8,+1.1,6.3,+0.1,95.3,
,11,Matthew Stafford,Det,QB,102.9,+0.1,3.0,+0.2,83.0,
,12,Eli Manning,NYG,QB,103.7,+3.7,2.3,+0.3,84.7,
,13,Ryan Tannehill,Mia,QB,104.1,+5.5,2.2,+0.1,86.7,
,14,Philip Rivers,SD,QB,109.0,+5.3,2.2,+0.2,80.6,
,15,Teddy Bridgewater,Min,QB,119.8,-1.3,2.6,+0.4,49.7,
,16,Joe Flacco,Bal,QB,120.3,-3,2.1,+0.1,39.8,
,17,Marcus Mariota,Ten,QB,121.8,-6.3,3.1,-0.2,33.0,
,18,Alex Smith,KC,QB,123.0,+4.3,0.0,+0,14.1,
,19,Colin Kaepernick,SF,QB,123.8,+1.3,1.8,+0.1,58.8,
,20,Jameis Winston,TB,QB,124.6,-4,2.7,-0.1,34.8,
,21,Andy Dalton,Cin,QB,126.1,-3.2,0.0,+0,18.8,
,22,Sam Bradford,Phi,QB,126.9,+5.7,1.9,+0.2,50.9,
,23,Jay Cutler,Chi,QB,127.7,+2.7,2.2,+2.2,25.3,
,24,Carson Palmer,Ari,QB,131.4,+3.5,1.9,+0.1,37.5,
,25,Derek Carr,Oak,QB,170.0,+0,0.0,+0,13.1,
,26,Nick Foles,StL,QB,170.0,+0,0.0,+0,12.4,
,27,Robert Griffin,Wsh,QB,170.0,+0,0.0,+0,11.1,
,28,Johnny Manziel,Cle,QB,170.0,+0,0.0,+0,7.0,
,29,Blake Bortles,Jac,QB,170.0,+0,0.0,+0,6.0,
,30,Tim Tebow,Phi,QB,170.0,+0,0.0,+0,4.0,
,31,Ryan Fitzpatrick,NYJ,QB,170.0,+0,0.0,+0,3.6,
,32,Jimmy Garoppolo,NE,QB,170.0,+0,0.0,+0,2.9,
,33,Tyrod Taylor,Buf,QB,170.0,+0,0.0,+0,2.4,
,34,Josh McCown,Cle,QB,170.0,+0,0.0,+0,2.1,
,35,Ryan Mallett,Hou,QB,170.0,+0,0.0,+0,1.5,
,36,Brian Hoyer,Hou,QB,170.0,+0,0.0,+0,1.5,
,37,Matt Cassel,Buf,QB,170.0,+0,0.0,+0,1.3,
,38,Mark Sanchez,Phi,QB,170.0,+0,0.0,+0,1.2,
,39,Geno Smith*,NYJ,QB,170.0,+0,0.0,+0,1.0,
,40,Kirk Cousins,Wsh,QB,170.0,+0,0.0,+0,0.8,
,41,EJ Manuel,Buf,QB,170.0,+0,0.0,+0,0.7,
,42,Brock Osweiler,Den,QB,170.0,+0,0.0,+0,0.5,
,43,Michael Vick,FA,QB,170.0,+0,0.0,+0,0.4,
,44,Bryce Petty,NYJ,QB,170.0,+0,0.0,+0,0.4,
,45,Colt McCoy,Wsh,QB,170.0,+0,0.0,+0,0.3,
,46,Zach Mettenberger,Ten,QB,170.0,+0,0.0,+0,0.3,
